Saturday , S600,3092,600 - 32,20:32,East Main Station,West,99557
Saturday , S600,3092,600 - 32,20:35,South Bellevue Station,West,99554
Saturday , S600,3098,600 - 32,21:15,Redmond Technology Station,West,99569
Saturday , S600,3098,600 - 32,21:17,Overlake Village Station,West,99567
Saturday , S600,3098,600 - 32,21:22,BelRed Station,West,99565
Saturday , S600,3098,600 - 32,21:24,Spring District Station,West,99563
Saturday , S600,3098,600 - 32,21:26,Wilburton Station,West,99561
Saturday , S600,3098,600 - 32,21:28,Bellevue Downtown Station,West,99559
Saturday , S600,3098,600 - 32,21:32,East Main Station,West,99557
Saturday , S600,3098,600 - 32,21:35,South Bellevue Station,West,99554
Saturday , S600,3002,600 - 32, 5:26   ,Wilburton Station,West,99561
Saturday , S600,3002,600 - 32, 5:28   ,Bellevue Downtown Station,West,99559
Saturday , S600,3002,600 - 32, 5:32   ,East Main Station,West,99557
Saturday , S600,3002,600 - 32, 5:35   ,South Bellevue Station,West,99554
Saturday ,,454,600 - 32,21:51,Wilburton Station,,99560
Saturday ,,454,600 - 32,21:53,East Link Base,,92015
Saturday , S600,4005,600 - 32, 5:42   ,South Bellevue Station,East,99554
Saturday , S600,4005,600 - 32, 5:46   ,East Main Station,East,99556
Saturday , S600,4005,600 - 32, 5:49   ,Bellevue Downtown Station,East,99558
Saturday , S600,4005,600 - 32, 5:51   ,Wilburton Station,East,99560
Saturday , S600,4005,600 - 32, 5:53   ,Spring District Station,East,99562
Saturday , S600,4005,600 - 32, 5:55   ,BelRed Station,East,99564
Saturday , S600,4005,600 - 32, 5:59   ,Overlake Village Station,East,99566
Saturday , S600,4005,600 - 32, 6:02   ,Redmond Technology Station,East,99569
Saturday , S600,4011,600 - 32, 6:42   ,South Bellevue Station,East,99554
Saturday , S600,4011,600 - 32, 6:46   ,East Main Station,East,99556
Saturday , S600,4011,600 - 32, 6:49   ,Bellevue Downtown Station,East,99558
Saturday , S600,4011,600 - 32, 6:51   ,Wilburton Station,East,99560
Saturday , S600,4011,600 - 32, 6:53   ,Spring District Station,East,99562
Saturday , S600,4011,600 - 32, 6:55   ,BelRed Station,East,99564
Saturday , S600,4011,600 - 32, 6:59   ,Overlake Village Station,East,99566
Saturday , S600,4011,600 - 32, 7:02   ,Redmond Technology Station,East,99569
Saturday , S600,4017,600 - 32, 7:42   ,South Bellevue Station,East,99554
Saturday , S600,4017,600 - 32, 7:46   ,East Main Station,East,99556
Saturday , S600,4017,600 - 32, 7:49   ,Bellevue Downtown Station,East,99558
Saturday , S600,4017,600 - 32, 7:51   ,Wilburton Station,East,99560
Saturday , S600,4017,600 - 32, 7:53   ,Spring District Station,East,99562
Saturday , S600,4017,600 - 32, 7:55   ,BelRed Station,East,99564
Saturday , S600,4017,600 - 32, 7:59   ,Overlake Village Station,East,99566
Saturday , S600,4017,600 - 32, 8:02   ,Redmond Technology Station,East,99569
Saturday , S600,4023,600 - 32, 8:42   ,South Bellevue Station,East,99554
Saturday , S600,4023,600 - 32, 8:46   ,East Main Station,East,99556
Saturday , S600,4023,600 - 32, 8:49   ,Bellevue Downtown Station,East,99558
Saturday , S600,4023,600 - 32, 8:51   ,Wilburton Station,East,99560
Saturday , S600,4023,600 - 32, 8:53   ,Spring District Station,East,99562
Saturday , S600,4023,600 - 32, 8:55   ,BelRed Station,East,99564
Saturday , S600,4023,600 - 32, 8:59   ,Overlake Village Station,East,99566
Saturday , S600,4023,600 - 32, 9:02   ,Redmond Technology Station,East,99569
Saturday , S600,4029,600 - 32, 9:42   ,South Bellevue Station,East,99554
Saturday , S600,4029,600 - 32, 9:46   ,East Main Station,East,99556
Saturday , S600,4029,600 - 32, 9:49   ,Bellevue Downtown Station,East,99558
Saturday , S600,4029,600 - 32, 9:51   ,Wilburton Station,East,99560
Saturday , S600,4029,600 - 32, 9:53   ,Spring District Station,East,99562
Saturday , S600,4029,600 - 32, 9:55   ,BelRed Station,East,99564
Saturday , S600,4029,600 - 32, 9:59   ,Overlake Village Station,East,99566
Saturday , S600,4029,600 - 32,10:02,Redmond Technology Station,East,99569
Saturday , S600,4035,600 - 32,10:42,South Bellevue Station,East,99554
Saturday , S600,4035,600 - 32,10:46,East Main Station,East,99556
Saturday , S600,4035,600 - 32,10:49,Bellevue Downtown Station,East,99558
Saturday , S600,4035,600 - 32,10:51,Wilburton Station,East,99560
Saturday , S600,4035,600 - 32,10:53,Spring District Station,East,99562
Saturday , S600,4035,600 - 32,10:55,BelRed Station,East,99564
Saturday , S600,4035,600 - 32,10:59,Overlake Village Station,East,99566
Saturday , S600,4035,600 - 32,11:02,Redmond Technology Station,East,99569
Saturday , S600,4041,600 - 32,11:42,South Bellevue Station,East,99554
Saturday , S600,4041,600 - 32,11:46,East Main Station,East,99556
Saturday , S600,4041,600 - 32,11:49,Bellevue Downtown Station,East,99558
Saturday , S600,4041,600 - 32,11:51,Wilburton Station,East,99560
Saturday , S600,4041,600 - 32,11:53,Spring District Station,East,99562
Saturday , S600,4041,600 - 32,11:55,BelRed Station,East,99564
Saturday , S600,4041,600 - 32,11:59,Overlake Village Station,East,99566
Saturday , S600,4041,600 - 32,12:02,Redmond Technology Station,East,99569
Saturday , S600,4047,600 - 32,12:42,South Bellevue Station,East,99554
Saturday , S600,4047,600 - 32,12:46,East Main Station,East,99556
Saturday , S600,4047,600 - 32,12:49,Bellevue Downtown Station,East,99558
Saturday , S600,4047,600 - 32,12:51,Wilburton Station,East,99560
Saturday , S600,4047,600 - 32,12:53,Spring District Station,East,99562
Saturday , S600,4047,600 - 32,12:55,BelRed Station,East,99564
Saturday , S600,4047,600 - 32,12:59,Overlake Village Station,East,99566
Saturday , S600,4047,600 - 32,13:02,Redmond Technology Station,East,99569
Saturday , S600,4053,600 - 32,13:42,South Bellevue Station,East,99554
Saturday , S600,4053,600 - 32,13:46,East Main Station,East,99556
Saturday , S600,4053,600 - 32,13:49,Bellevue Downtown Station,East,99558
Saturday , S600,4053,600 - 32,13:51,Wilburton Station,East,99560
Saturday , S600,4053,600 - 32,13:53,Spring District Station,East,99562
Saturday , S600,4053,600 - 32,13:55,BelRed Station,East,99564
Saturday , S600,4053,600 - 32,13:59,Overlake Village Station,East,99566
Saturday , S600,4053,600 - 32,14:02,Redmond Technology Station,East,99569
Saturday , S600,4059,600 - 32,14:42,South Bellevue Station,East,99554
Saturday , S600,4059,600 - 32,14:46,East Main Station,East,99556
Saturday , S600,4059,600 - 32,14:49,Bellevue Downtown Station,East,99558
Saturday , S600,4059,600 - 32,14:51,Wilburton Station,East,99560
Saturday , S600,4059,600 - 32,14:53,Spring District Station,East,99562
Saturday , S600,4059,600 - 32,14:55,BelRed Station,East,99564
Saturday , S600,4059,600 - 32,14:59,Overlake Village Station,East,99566
Saturday , S600,4059,600 - 32,15:02,Redmond Technology Station,East,99569
Saturday , S600,4065,600 - 32,15:42,South Bellevue Station,East,99554
Saturday , S600,4065,600 - 32,15:46,East Main Station,East,99556
Saturday , S600,4065,600 - 32,15:49,Bellevue Downtown Station,East,99558
Saturday , S600,4065,600 - 32,15:51,Wilburton Station,East,99560
Saturday , S600,4065,600 - 32,15:53,Spring District Station,East,99562
Saturday , S600,4065,600 - 32,15:55,BelRed Station,East,99564
Saturday , S600,4065,600 - 32,15:59,Overlake Village Station,East,99566
Saturday , S600,4065,600 - 32,16:02,Redmond Technology Station,East,99569
Saturday , S600,4071,600 - 32,16:42,South Bellevue Station,East,99554
Saturday , S600,4071,600 - 32,16:46,East Main Station,East,99556
Saturday , S600,4071,600 - 32,16:49,Bellevue Downtown Station,East,99558
Saturday , S600,4071,600 - 32,16:51,Wilburton Station,East,99560
Saturday , S600,4071,600 - 32,16:53,Spring District Station,East,99562
Saturday , S600,4071,600 - 32,16:55,BelRed Station,East,99564
Saturday , S600,4071,600 - 32,16:59,Overlake Village Station,East,99566
Saturday , S600,4071,600 - 32,17:02,Redmond Technology Station,East,99569
Saturday , S600,4077,600 - 32,17:42,South Bellevue Station,East,99554
Saturday , S600,4077,600 - 32,17:46,East Main Station,East,99556
Saturday , S600,4077,600 - 32,17:49,Bellevue Downtown Station,East,99558
Saturday , S600,4077,600 - 32,17:51,Wilburton Station,East,99560
Saturday , S600,4077,600 - 32,17:53,Spring District Station,East,99562
Saturday , S600,4077,600 - 32,17:55,BelRed Station,East,99564
Saturday , S600,4077,600 - 32,17:59,Overlake Village Station,East,99566
Saturday , S600,4077,600 - 32,18:02,Redmond Technology Station,East,99569
Saturday , S600,4083,600 - 32,18:42,South Bellevue Station,East,99554
Saturday , S600,4083,600 - 32,18:46,East Main Station,East,99556
Saturday , S600,4083,600 - 32,18:49,Bellevue Downtown Station,East,99558
Saturday , S600,4083,600 - 32,18:51,Wilburton Station,East,99560
Saturday , S600,4083,600 - 32,18:53,Spring District Station,East,99562
Saturday , S600,4083,600 - 32,18:55,BelRed Station,East,99564
Saturday , S600,4083,600 - 32,18:59,Overlake Village Station,East,99566
Saturday , S600,4083,600 - 32,19:02,Redmond Technology Station,East,99569
Saturday , S600,4089,600 - 32,19:42,South Bellevue Station,East,99554
Saturday , S600,4089,600 - 32,19:46,East Main Station,East,99556
Saturday , S600,4089,600 - 32,19:49,Bellevue Downtown Station,East,99558
Saturday , S600,4089,600 - 32,19:51,Wilburton Station,East,99560
Saturday , S600,4089,600 - 32,19:53,Spring District Station,East,99562
Saturday , S600,4089,600 - 32,19:55,BelRed Station,East,99564
Saturday , S600,4089,600 - 32,19:59,Overlake Village Station,East,99566
Saturday , S600,4089,600 - 32,20:02,Redmond Technology Station,East,99569
Saturday , S600,4095,600 - 32,20:42,South Bellevue Station,East,99554
Saturday , S600,4095,600 - 32,20:46,East Main Station,East,99556
Saturday , S600,4095,600 - 32,20:49,Bellevue Downtown Station,East,99558
Saturday , S600,4095,600 - 32,20:51,Wilburton Station,East,99560
Saturday , S600,4095,600 - 32,20:53,Spring District Station,East,99562
Saturday , S600,4095,600 - 32,20:55,BelRed Station,East,99564
Saturday , S600,4095,600 - 32,20:59,Overlake Village Station,East,99566
Saturday , S600,4095,600 - 32,21:02,Redmond Technology Station,East,99569
Saturday , S600,401,600 - 32,21:42,South Bellevue Station,East,99554
Saturday , S600,401,600 - 32,21:46,East Main Station,East,99556
Saturday , S600,401,600 - 32,21:49,Bellevue Downtown Station,East,99558
Saturday , S600,401,600 - 32,21:51,Wilburton Station,East,99560
Saturday ,,353,600 - 33, 5:34   ,East Link Base,,92015
Saturday ,,353,600 - 33, 5:36   ,Wilburton Station,,99561
Saturday , S600,3009,600 - 33, 6:25   ,Redmond Technology Station,West,99568
Saturday , S600,3009,600 - 33, 6:27   ,Overlake Village Station,West,99567
Saturday , S600,3009,600 - 33, 6:32   ,BelRed Station,West,99565
Saturday , S600,3009,600 - 33, 6:34   ,Spring District Station,West,99563
Saturday , S600,3009,600 - 33, 6:36   ,Wilburton Station,West,99561
Saturday , S600,3009,600 - 33, 6:38   ,Bellevue Downtown Station,West,99559
Saturday , S600,3009,600 - 33, 6:42   ,East Main Station,West,99557
Saturday , S600,3009,600 - 33, 6:45   ,South Bellevue Station,West,99554
Saturday , S600,3015,600 - 33, 7:25   ,Redmond Technology Station,West,99568
Saturday , S600,3015,600 - 33, 7:27   ,Overlake Village Station,West,99567
Saturday , S600,3015,600 - 33, 7:32   ,BelRed Station,West,99565
Saturday , S600,3015,600 - 33, 7:34   ,Spring District Station,West,99563
Saturday , S600,3015,600 - 33, 7:36   ,Wilburton Station,West,99561
Saturday , S600,3015,600 - 33, 7:38   ,Bellevue Downtown Station,West,99559
Saturday , S600,3015,600 - 33, 7:42   ,East Main Station,West,99557
Saturday , S600,3015,600 - 33, 7:45   ,South Bellevue Station,West,99554
Saturday , S600,3021,600 - 33, 8:25   ,Redmond Technology Station,West,99568
Saturday , S600,3021,600 - 33, 8:27   ,Overlake Village Station,West,99567
Saturday , S600,3021,600 - 33, 8:32   ,BelRed Station,West,99565
Saturday , S600,3021,600 - 33, 8:34   ,Spring District Station,West,99563
Saturday , S600,3021,600 - 33, 8:36   ,Wilburton Station,West,99561
Saturday , S600,3021,600 - 33, 8:38   ,Bellevue Downtown Station,West,99559
Saturday , S600,3021,600 - 33, 8:42   ,East Main Station,West,99557
Saturday , S600,3021,600 - 33, 8:45   ,South Bellevue Station,West,99554
Saturday , S600,3027,600 - 33, 9:25   ,Redmond Technology Station,West,99568
Saturday , S600,3027,600 - 33, 9:27   ,Overlake Village Station,West,99567
Saturday , S600,3027,600 - 33, 9:32   ,BelRed Station,West,99565
Saturday , S600,3027,600 - 33, 9:34   ,Spring District Station,West,99563
Saturday , S600,3027,600 - 33, 9:36   ,Wilburton Station,West,99561
Saturday , S600,3027,600 - 33, 9:38   ,Bellevue Downtown Station,West,99559
Saturday , S600,3027,600 - 33, 9:42   ,East Main Station,West,99557
Saturday , S600,3027,600 - 33, 9:45   ,South Bellevue Station,West,99554
Saturday , S600,3033,600 - 33,10:25,Redmond Technology Station,West,99568
Saturday , S600,3033,600 - 33,10:27,Overlake Village Station,West,99567
Saturday , S600,3033,600 - 33,10:32,BelRed Station,West,99565
Saturday , S600,3033,600 - 33,10:34,Spring District Station,West,99563
Saturday , S600,3033,600 - 33,10:36,Wilburton Station,West,99561
Saturday , S600,3033,600 - 33,10:38,Bellevue Downtown Station,West,99559
Saturday , S600,3033,600 - 33,10:42,East Main Station,West,99557
Saturday , S600,3033,600 - 33,10:45,South Bellevue Station,West,99554
Saturday , S600,3039,600 - 33,11:25,Redmond Technology Station,West,99568
Saturday , S600,3039,600 - 33,11:27,Overlake Village Station,West,99567
Saturday , S600,3039,600 - 33,11:32,BelRed Station,West,99565
Saturday , S600,3039,600 - 33,11:34,Spring District Station,West,99563
Saturday , S600,3039,600 - 33,11:36,Wilburton Station,West,99561
Saturday , S600,3039,600 - 33,11:38,Bellevue Downtown Station,West,99559
Saturday , S600,3039,600 - 33,11:42,East Main Station,West,99557
Saturday , S600,3039,600 - 33,11:45,South Bellevue Station,West,99554
Saturday , S600,3045,600 - 33,12:25,Redmond Technology Station,West,99568
Saturday , S600,3045,600 - 33,12:27,Overlake Village Station,West,99567
Saturday , S600,3045,600 - 33,12:32,BelRed Station,West,99565
Saturday , S600,3045,600 - 33,12:34,Spring District Station,West,99563
Saturday , S600,3045,600 - 33,12:36,Wilburton Station,West,99561
Saturday , S600,3045,600 - 33,12:38,Bellevue Downtown Station,West,99559
Saturday , S600,3045,600 - 33,12:42,East Main Station,West,99557
Saturday , S600,3045,600 - 33,12:45,South Bellevue Station,West,99554
Saturday , S600,3051,600 - 33,13:25,Redmond Technology Station,West,99568
Saturday , S600,3051,600 - 33,13:27,Overlake Village Station,West,99567
Saturday , S600,3051,600 - 33,13:32,BelRed Station,West,99565
Saturday , S600,3051,600 - 33,13:34,Spring District Station,West,99563
Saturday , S600,3051,600 - 33,13:36,Wilburton Station,West,99561
Saturday , S600,3051,600 - 33,13:38,Bellevue Downtown Station,West,99559
Saturday , S600,3051,600 - 33,13:42,East Main Station,West,99557
Saturday , S600,3051,600 - 33,13:45,South Bellevue Station,West,99554
Saturday , S600,3057,600 - 33,14:25,Redmond Technology Station,West,99568
Saturday , S600,3057,600 - 33,14:27,Overlake Village Station,West,99567
Saturday , S600,3057,600 - 33,14:32,BelRed Station,West,99565
Saturday , S600,3057,600 - 33,14:34,Spring District Station,West,99563
Saturday , S600,3057,600 - 33,14:36,Wilburton Station,West,99561
Saturday , S600,3057,600 - 33,14:38,Bellevue Downtown Station,West,99559
Saturday , S600,3057,600 - 33,14:42,East Main Station,West,99557
Saturday , S600,3057,600 - 33,14:45,South Bellevue Station,West,99554
Saturday , S600,3063,600 - 33,15:25,Redmond Technology Station,West,99568
Saturday , S600,3063,600 - 33,15:27,Overlake Village Station,West,99567
Saturday , S600,3063,600 - 33,15:32,BelRed Station,West,99565
Saturday , S600,3063,600 - 33,15:34,Spring District Station,West,99563
Saturday , S600,3063,600 - 33,15:36,Wilburton Station,West,99561
Saturday , S600,3063,600 - 33,15:38,Bellevue Downtown Station,West,99559
Saturday , S600,3063,600 - 33,15:42,East Main Station,West,99557
Saturday , S600,3063,600 - 33,15:45,South Bellevue Station,West,99554
Saturday , S600,3069,600 - 33,16:25,Redmond Technology Station,West,99568
Saturday , S600,3069,600 - 33,16:27,Overlake Village Station,West,99567
Saturday , S600,3069,600 - 33,16:32,BelRed Station,West,99565
Saturday , S600,3069,600 - 33,16:34,Spring District Station,West,99563
Saturday , S600,3069,600 - 33,16:36,Wilburton Station,West,99561
Saturday , S600,3069,600 - 33,16:38,Bellevue Downtown Station,West,99559
Saturday , S600,3069,600 - 33,16:42,East Main Station,West,99557
Saturday , S600,3069,600 - 33,16:45,South Bellevue Station,West,99554
Saturday , S600,3075,600 - 33,17:25,Redmond Technology Station,West,99568
Saturday , S600,3075,600 - 33,17:27,Overlake Village Station,West,99567
Saturday , S600,3075,600 - 33,17:32,BelRed Station,West,99565
Saturday , S600,3075,600 - 33,17:34,Spring District Station,West,99563
Saturday , S600,3075,600 - 33,17:36,Wilburton Station,West,99561
Saturday , S600,3075,600 - 33,17:38,Bellevue Downtown Station,West,99559
Saturday , S600,3075,600 - 33,17:42,East Main Station,West,99557
Saturday , S600,3075,600 - 33,17:45,South Bellevue Station,West,99554
Saturday , S600,3081,600 - 33,18:25,Redmond Technology Station,West,99568
Saturday , S600,3081,600 - 33,18:27,Overlake Village Station,West,99567
Saturday , S600,3081,600 - 33,18:32,BelRed Station,West,99565
Saturday , S600,3081,600 - 33,18:34,Spring District Station,West,99563
Saturday , S600,3081,600 - 33,18:36,Wilburton Station,West,99561
Saturday , S600,3081,600 - 33,18:38,Bellevue Downtown Station,West,99559
Saturday , S600,3081,600 - 33,18:42,East Main Station,West,99557
Saturday , S600,3081,600 - 33,18:45,South Bellevue Station,West,99554
Saturday , S600,3087,600 - 33,19:25,Redmond Technology Station,West,99568
Saturday , S600,3087,600 - 33,19:27,Overlake Village Station,West,99567
Saturday , S600,3087,600 - 33,19:32,BelRed Station,West,99565
Saturday , S600,3087,600 - 33,19:34,Spring District Station,West,99563
Saturday , S600,3087,600 - 33,19:36,Wilburton Station,West,99561
Saturday , S600,3087,600 - 33,19:38,Bellevue Downtown Station,West,99559
Saturday , S600,3087,600 - 33,19:42,East Main Station,West,99557
Saturday , S600,3087,600 - 33,19:45,South Bellevue Station,West,99554
Saturday , S600,3093,600 - 33,20:25,Redmond Technology Station,West,99568
Saturday , S600,3093,600 - 33,20:27,Overlake Village Station,West,99567
Saturday , S600,3093,600 - 33,20:32,BelRed Station,West,99565
Saturday , S600,3093,600 - 33,20:34,Spring District Station,West,99563
Saturday , S600,3093,600 - 33,20:36,Wilburton Station,West,99561
Saturday , S600,3093,600 - 33,20:38,Bellevue Downtown Station,West,99559
Saturday , S600,3093,600 - 33,20:42,East Main Station,West,99557
Saturday , S600,3093,600 - 33,20:45,South Bellevue Station,West,99554
Saturday , S600,3099,600 - 33,21:25,Redmond Technology Station,West,99568
Saturday , S600,3099,600 - 33,21:27,Overlake Village Station,West,99567
Saturday , S600,3099,600 - 33,21:32,BelRed Station,West,99565
Saturday , S600,3099,600 - 33,21:34,Spring District Station,West,99563
Saturday , S600,3099,600 - 33,21:36,Wilburton Station,West,99561
Saturday , S600,3099,600 - 33,21:38,Bellevue Downtown Station,West,99559
Saturday , S600,3099,600 - 33,21:42,East Main Station,West,99557
Saturday , S600,3099,600 - 33,21:45,South Bellevue Station,West,99554
Saturday , S600,3004,600 - 33, 5:36   ,Wilburton Station,West,99561
Saturday , S600,3004,600 - 33, 5:38   ,Bellevue Downtown Station,West,99559
Saturday , S600,3004,600 - 33, 5:42   ,East Main Station,West,99557
Saturday , S600,3004,600 - 33, 5:45   ,South Bellevue Station,West,99554
Saturday ,,455,600 - 33,22:01,Wilburton Station,,99560
Saturday ,,455,600 - 33,22:03,East Link Base,,92015
Saturday , S600,4006,600 - 33, 5:52   ,South Bellevue Station,East,99554
Saturday , S600,4006,600 - 33, 5:56   ,East Main Station,East,99556
Saturday , S600,4006,600 - 33, 5:59   ,Bellevue Downtown Station,East,99558
Saturday , S600,4006,600 - 33, 6:01   ,Wilburton Station,East,99560
Saturday , S600,4006,600 - 33, 6:03   ,Spring District Station,East,99562
Saturday , S600,4006,600 - 33, 6:05   ,BelRed Station,East,99564
Saturday , S600,4006,600 - 33, 6:09   ,Overlake Village Station,East,99566
Saturday , S600,4006,600 - 33, 6:12   ,Redmond Technology Station,East,99568
Saturday , S600,4012,600 - 33, 6:52   ,South Bellevue Station,East,99554
Saturday , S600,4012,600 - 33, 6:56   ,East Main Station,East,99556
Saturday , S600,4012,600 - 33, 6:59   ,Bellevue Downtown Station,East,99558
Saturday , S600,4012,600 - 33, 7:01   ,Wilburton Station,East,99560
Saturday , S600,4012,600 - 33, 7:03   ,Spring District Station,East,99562
Saturday , S600,4012,600 - 33, 7:05   ,BelRed Station,East,99564
Saturday , S600,4012,600 - 33, 7:09   ,Overlake Village Station,East,99566
Saturday , S600,4012,600 - 33, 7:12   ,Redmond Technology Station,East,99568
Saturday , S600,4018,600 - 33, 7:52   ,South Bellevue Station,East,99554
Saturday , S600,4018,600 - 33, 7:56   ,East Main Station,East,99556
Saturday , S600,4018,600 - 33, 7:59   ,Bellevue Downtown Station,East,99558
Saturday , S600,4018,600 - 33, 8:01   ,Wilburton Station,East,99560
Saturday , S600,4018,600 - 33, 8:03   ,Spring District Station,East,99562
Saturday , S600,4018,600 - 33, 8:05   ,BelRed Station,East,99564
Saturday , S600,4018,600 - 33, 8:09   ,Overlake Village Station,East,99566
Saturday , S600,4018,600 - 33, 8:12   ,Redmond Technology Station,East,99568
Saturday , S600,4024,600 - 33, 8:52   ,South Bellevue Station,East,99554
Saturday , S600,4024,600 - 33, 8:56   ,East Main Station,East,99556
Saturday , S600,4024,600 - 33, 8:59   ,Bellevue Downtown Station,East,99558
Saturday , S600,4024,600 - 33, 9:01   ,Wilburton Station,East,99560
Saturday , S600,4024,600 - 33, 9:03   ,Spring District Station,East,99562
Saturday , S600,4024,600 - 33, 9:05   ,BelRed Station,East,99564
Saturday , S600,4024,600 - 33, 9:09   ,Overlake Village Station,East,99566
Saturday , S600,4024,600 - 33, 9:12   ,Redmond Technology Station,East,99568
Saturday , S600,4030,600 - 33, 9:52   ,South Bellevue Station,East,99554
Saturday , S600,4030,600 - 33, 9:56   ,East Main Station,East,99556
Saturday , S600,4030,600 - 33, 9:59   ,Bellevue Downtown Station,East,99558
Saturday , S600,4030,600 - 33,10:01,Wilburton Station,East,99560
Saturday , S600,4030,600 - 33,10:03,Spring District Station,East,99562
Saturday , S600,4030,600 - 33,10:05,BelRed Station,East,99564
Saturday , S600,4030,600 - 33,10:09,Overlake Village Station,East,99566
Saturday , S600,4030,600 - 33,10:12,Redmond Technology Station,East,99568
Saturday , S600,4036,600 - 33,10:52,South Bellevue Station,East,99554
Saturday , S600,4036,600 - 33,10:56,East Main Station,East,99556
Saturday , S600,4036,600 - 33,10:59,Bellevue Downtown Station,East,99558
Saturday , S600,4036,600 - 33,11:01,Wilburton Station,East,99560
Saturday , S600,4036,600 - 33,11:03,Spring District Station,East,99562
Saturday , S600,4036,600 - 33,11:05,BelRed Station,East,99564
Saturday , S600,4036,600 - 33,11:09,Overlake Village Station,East,99566
Saturday , S600,4036,600 - 33,11:12,Redmond Technology Station,East,99568
Saturday , S600,4042,600 - 33,11:52,South Bellevue Station,East,99554
Saturday , S600,4042,600 - 33,11:56,East Main Station,East,99556
Saturday , S600,4042,600 - 33,11:59,Bellevue Downtown Station,East,99558
Saturday , S600,4042,600 - 33,12:01,Wilburton Station,East,99560
Saturday , S600,4042,600 - 33,12:03,Spring District Station,East,99562
Saturday , S600,4042,600 - 33,12:05,BelRed Station,East,99564
Saturday , S600,4042,600 - 33,12:09,Overlake Village Station,East,99566
Saturday , S600,4042,600 - 33,12:12,Redmond Technology Station,East,99568
Saturday , S600,4048,600 - 33,12:52,South Bellevue Station,East,99554
Saturday , S600,4048,600 - 33,12:56,East Main Station,East,99556
Saturday , S600,4048,600 - 33,12:59,Bellevue Downtown Station,East,99558
Saturday , S600,4048,600 - 33,13:01,Wilburton Station,East,99560
Saturday , S600,4048,600 - 33,13:03,Spring District Station,East,99562
Saturday , S600,4048,600 - 33,13:05,BelRed Station,East,99564
Saturday , S600,4048,600 - 33,13:09,Overlake Village Station,East,99566
Saturday , S600,4048,600 - 33,13:12,Redmond Technology Station,East,99568
Saturday , S600,4054,600 - 33,13:52,South Bellevue Station,East,99554
Saturday , S600,4054,600 - 33,13:56,East Main Station,East,99556
Saturday , S600,4054,600 - 33,13:59,Bellevue Downtown Station,East,99558
Saturday , S600,4054,600 - 33,14:01,Wilburton Station,East,99560
Saturday , S600,4054,600 - 33,14:03,Spring District Station,East,99562
Saturday , S600,4054,600 - 33,14:05,BelRed Station,East,99564
Saturday , S600,4054,600 - 33,14:09,Overlake Village Station,East,99566
Saturday , S600,4054,600 - 33,14:12,Redmond Technology Station,East,99568
Saturday , S600,4060,600 - 33,14:52,South Bellevue Station,East,99554
Saturday , S600,4060,600 - 33,14:56,East Main Station,East,99556
Saturday , S600,4060,600 - 33,14:59,Bellevue Downtown Station,East,99558
Saturday , S600,4060,600 - 33,15:01,Wilburton Station,East,99560
Saturday , S600,4060,600 - 33,15:03,Spring District Station,East,99562
Saturday , S600,4060,600 - 33,15:05,BelRed Station,East,99564
Saturday , S600,4060,600 - 33,15:09,Overlake Village Station,East,99566
Saturday , S600,4060,600 - 33,15:12,Redmond Technology Station,East,99568
Saturday , S600,4066,600 - 33,15:52,South Bellevue Station,East,99554
Saturday , S600,4066,600 - 33,15:56,East Main Station,East,99556
Saturday , S600,4066,600 - 33,15:59,Bellevue Downtown Station,East,99558
Saturday , S600,4066,600 - 33,16:01,Wilburton Station,East,99560
Saturday , S600,4066,600 - 33,16:03,Spring District Station,East,99562
Saturday , S600,4066,600 - 33,16:05,BelRed Station,East,99564
Saturday , S600,4066,600 - 33,16:09,Overlake Village Station,East,99566
Saturday , S600,4066,600 - 33,16:12,Redmond Technology Station,East,99568
Saturday , S600,4072,600 - 33,16:52,South Bellevue Station,East,99554
Saturday , S600,4072,600 - 33,16:56,East Main Station,East,99556
Saturday , S600,4072,600 - 33,16:59,Bellevue Downtown Station,East,99558
Saturday , S600,4072,600 - 33,17:01,Wilburton Station,East,99560
Saturday , S600,4072,600 - 33,17:03,Spring District Station,East,99562
Saturday , S600,4072,600 - 33,17:05,BelRed Station,East,99564
Saturday , S600,4072,600 - 33,17:09,Overlake Village Station,East,99566
Saturday , S600,4072,600 - 33,17:12,Redmond Technology Station,East,99568
Saturday , S600,4078,600 - 33,17:52,South Bellevue Station,East,99554
Saturday , S600,4078,600 - 33,17:56,East Main Station,East,99556
Saturday , S600,4078,600 - 33,17:59,Bellevue Downtown Station,East,99558
Saturday , S600,4078,600 - 33,18:01,Wilburton Station,East,99560
Saturday , S600,4078,600 - 33,18:03,Spring District Station,East,99562
Saturday , S600,4078,600 - 33,18:05,BelRed Station,East,99564
Saturday , S600,4078,600 - 33,18:09,Overlake Village Station,East,99566
Saturday , S600,4078,600 - 33,18:12,Redmond Technology Station,East,99568
Saturday , S600,4084,600 - 33,18:52,South Bellevue Station,East,99554
Saturday , S600,4084,600 - 33,18:56,East Main Station,East,99556
Saturday , S600,4084,600 - 33,18:59,Bellevue Downtown Station,East,99558
Saturday , S600,4084,600 - 33,19:01,Wilburton Station,East,99560
Saturday , S600,4084,600 - 33,19:03,Spring District Station,East,99562
Saturday , S600,4084,600 - 33,19:05,BelRed Station,East,99564
Saturday , S600,4084,600 - 33,19:09,Overlake Village Station,East,99566
Saturday , S600,4084,600 - 33,19:12,Redmond Technology Station,East,99568
