service_id,route_id,trip_id,block_id,sch_arr_time,stop_name,stop_id,stop_seq,direction_name
Saturday ,  560,    6132,   16035,18,29   ,SeaTac Airport Terminal Bay,seatac,          5,West
Saturday ,  560,    6132,   16035,18,46   ,Burien TC-Bay 4,BurTC,          6,West
Saturday ,  560,    6132,   16035,19,03   ,Westwood Village Bay 2,26Bart,          7,West
Saturday ,  574,    6419,   16022,13,51   ,Lakewood Mall TC Zone M,lmtcM,          1,North
Saturday ,  574,    6419,   16022,14,02   ,SR512 P&R Zone F,sr512F,          2,North
Saturday ,  574,    6419,   16022,14,15   ,Tacoma Dome Station Zone A,tdsA,          3,North
Saturday ,  574,    6419,   16022,14,30   ,Federal Way TC - Bay 8,Fdwprd,          4,North
Saturday ,  574,    6419,   16022,14,37   ,Star Lake Fwy Station NB,starlk,          5,North
Saturday ,  574,    6419,   16022,14,41   ,Kent/DesMoines Fwy Station,kendem,          6,North
Saturday ,  574,    6419,   16022,14,52   ,ST Link Station - SeaTac,StLink,          7,North
Saturday ,  574,    6419,   16022,14,57   ,SeaTac Airport Terminal Bay,seatac,          8,North
Saturday ,  574,    6422,   16028,15,21   ,Lakewood Mall TC Zone M,lmtcM,          1,North
Saturday ,  574,    6422,   16028,15,32   ,SR512 P&R Zone F,sr512F,          2,North
Saturday ,  574,    6422,   16028,15,45   ,Tacoma Dome Station Zone A,tdsA,          3,North
Saturday ,  574,    6422,   16028,16,00   ,Federal Way TC - Bay 8,Fdwprd,          4,North
Saturday ,  574,    6422,   16028,16,07   ,Star Lake Fwy Station NB,starlk,          5,North
Saturday ,  574,    6422,   16028,16,11   ,Kent/DesMoines Fwy Station,kendem,          6,North
Saturday ,  574,    6422,   16028,16,22   ,ST Link Station - SeaTac,StLink,          7,North
Saturday ,  574,    6422,   16028,16,27   ,SeaTac Airport Terminal Bay,seatac,          8,North
Saturday ,  574,    6459,   16015,23,33   ,ST Link Station - SeaTac,StLink,          1,South
Saturday ,  574,    6459,   16015,23,40   ,SeaTac Airport Terminal Bay,seatac,          2,South
Saturday ,  574,    6459,   16015,23,51   ,Kent/DesMoines Fwy Station,kende2,          3,South
Saturday ,  574,    6459,   16015,23,54   ,Star Lake Fwy Station SB,starl2,          4,South
Saturday ,  574,    6459,   16015,24,00   ,Federal Way TC - Bay 5,FedW5,          5,South
Saturday ,  574,    6459,   16015,24,14   ,Tacoma Dome Zone H,tdsH,          6,South
Saturday ,  574,    6459,   16015,24,28   ,SR512 P&R Zone H,sr512H,          7,South
Saturday ,  574,    6459,   16015,24,37   ,Lakewood Mall TC Zone M,lmtcM,          8,South
Saturday ,  574,    6447,   16022,15,33   ,ST Link Station - SeaTac,StLink,          1,South
Saturday ,  574,    6447,   16022,15,40   ,SeaTac Airport Terminal Bay,seatac,          2,South
Saturday ,  574,    6447,   16022,15,52   ,Kent/DesMoines Fwy Station,kende2,          3,South
Saturday ,  574,    6447,   16022,15,55   ,Star Lake Fwy Station SB,starl2,          4,South
Saturday ,  574,    6447,   16022,16,01   ,Federal Way TC - Bay 5,FedW5,          5,South
Saturday ,  574,    6447,   16022,16,15   ,Tacoma Dome Zone H,tdsH,          6,South
Saturday ,  574,    6447,   16022,16,29   ,SR512 P&R Zone H,sr512H,          7,South
Saturday ,  574,    6447,   16022,16,38   ,Lakewood Mall TC Zone M,lmtcM,          8,South
Saturday ,  574,    6409,   16016, 7,38   ,Lakewood Mall TC Zone M,lmtcM,          1,North
Saturday ,  574,    6409,   16016, 7,48   ,SR512 P&R Zone F,sr512F,          2,North
Saturday ,  574,    6409,   16016, 8,00   ,Tacoma Dome Station Zone A,tdsA,          3,North
Saturday ,  574,    6409,   16016, 8,15   ,Federal Way TC - Bay 8,Fdwprd,          4,North
Saturday ,  574,    6409,   16016, 8,20   ,Star Lake Fwy Station NB,starlk,          5,North
Saturday ,  574,    6409,   16016, 8,23   ,Kent/DesMoines Fwy Station,kendem,          6,North
Saturday ,  574,    6409,   16016, 8,34   ,ST Link Station - SeaTac,StLink,          7,North
Saturday ,  574,    6409,   16016, 8,39   ,SeaTac Airport Terminal Bay,seatac,          8,North
Saturday ,  574,    6454,   16026,19,03   ,ST Link Station - SeaTac,StLink,          1,South
Saturday ,  574,    6454,   16026,19,10   ,SeaTac Airport Terminal Bay,seatac,          2,South
Saturday ,  574,    6454,   16026,19,21   ,Kent/DesMoines Fwy Station,kende2,          3,South
Saturday ,  574,    6454,   16026,19,24   ,Star Lake Fwy Station SB,starl2,          4,South
Saturday ,  574,    6454,   16026,19,30   ,Federal Way TC - Bay 5,FedW5,          5,South
Saturday ,  574,    6454,   16026,19,44   ,Tacoma Dome Zone H,tdsH,          6,South
Saturday ,  574,    6454,   16026,19,58   ,SR512 P&R Zone H,sr512H,          7,South
Saturday ,  574,    6454,   16026,20,07   ,Lakewood Mall TC Zone M,lmtcM,          8,South
Saturday ,  574,    6424,   16006,16,21   ,Lakewood Mall TC Zone M,lmtcM,          1,North
Saturday ,  574,    6424,   16006,16,32   ,SR512 P&R Zone F,sr512F,          2,North
Saturday ,  574,    6424,   16006,16,45   ,Tacoma Dome Station Zone A,tdsA,          3,North
Saturday ,  574,    6424,   16006,17,00   ,Federal Way TC - Bay 8,Fdwprd,          4,North
Saturday ,  574,    6424,   16006,17,07   ,Star Lake Fwy Station NB,starlk,          5,North
Saturday ,  574,    6424,   16006,17,11   ,Kent/DesMoines Fwy Station,kendem,          6,North
Saturday ,  574,    6424,   16006,17,22   ,ST Link Station - SeaTac,StLink,          7,North
Saturday ,  574,    6424,   16006,17,27   ,SeaTac Airport Terminal Bay,seatac,          8,North
Saturday ,  574,    6445,   16015,14,33   ,ST Link Station - SeaTac,StLink,          1,South
Saturday ,  574,    6445,   16015,14,40   ,SeaTac Airport Terminal Bay,seatac,          2,South
Saturday ,  574,    6445,   16015,14,52   ,Kent/DesMoines Fwy Station,kende2,          3,South
Saturday ,  574,    6445,   16015,14,55   ,Star Lake Fwy Station SB,starl2,          4,South
Saturday ,  574,    6445,   16015,15,01   ,Federal Way TC - Bay 5,FedW5,          5,South
Saturday ,  574,    6445,   16015,15,15   ,Tacoma Dome Zone H,tdsH,          6,South
Saturday ,  574,    6445,   16015,15,29   ,SR512 P&R Zone H,sr512H,          7,South
Saturday ,  574,    6445,   16015,15,38   ,Lakewood Mall TC Zone M,lmtcM,          8,South
Saturday ,  574,    6436,   16012, 8,33   ,ST Link Station - SeaTac,StLink,          1,South
Saturday ,  574,    6436,   16012, 8,40   ,SeaTac Airport Terminal Bay,seatac,          2,South
Saturday ,  574,    6436,   16012, 8,51   ,Kent/DesMoines Fwy Station,kende2,          3,South
Saturday ,  574,    6436,   16012, 8,54   ,Star Lake Fwy Station SB,starl2,          4,South
Saturday ,  574,    6436,   16012, 9,00   ,Federal Way TC - Bay 5,FedW5,          5,South
Saturday ,  574,    6436,   16012, 9,13   ,Tacoma Dome Zone H,tdsH,          6,South
Saturday ,  574,    6436,   16012, 9,26   ,SR512 P&R Zone H,sr512H,          7,South
Saturday ,  574,    6436,   16012, 9,35   ,Lakewood Mall TC Zone M,lmtcM,          8,South
Saturday ,  574,    6434,   16001, 6,33   ,ST Link Station - SeaTac,StLink,          1,South
Saturday ,  574,    6434,   16001, 6,40   ,SeaTac Airport Terminal Bay,seatac,          2,South
Saturday ,  574,    6434,   16001, 6,51   ,Kent/DesMoines Fwy Station,kende2,          3,South
Saturday ,  574,    6434,   16001, 6,54   ,Star Lake Fwy Station SB,starl2,          4,South
Saturday ,  574,    6434,   16001, 7,00   ,Federal Way TC - Bay 5,FedW5,          5,South
Saturday ,  574,    6434,   16001, 7,13   ,Tacoma Dome Zone H,tdsH,          6,South
Saturday ,  574,    6434,   16001, 7,26   ,SR512 P&R Zone H,sr512H,          7,South
Saturday ,  574,    6434,   16001, 7,35   ,Lakewood Mall TC Zone M,lmtcM,          8,South
Saturday ,  574,    6415,   16008,11,51   ,Lakewood Mall TC Zone M,lmtcM,          1,North
